     nation     | o_year |   sum_profit   
 JORDAN         |   1996 |  41484141.4122
 JORDAN         |   1995 |  42111119.1074
 JORDAN         |   1994 |  43136286.3303
 JORDAN         |   1993 |  45717659.4789
 JORDAN         |   1992 |  42699944.2602
 KENYA          |   1998 |  25769333.8935
 KENYA          |   1997 |  41573523.8735
 KENYA          |   1996 |  44032488.2692
 KENYA          |   1995 |  42487927.6921
 KENYA          |   1994 |  45238936.7152
 KENYA          |   1993 |  41016427.4154
 KENYA          |   1992 |  43471249.7770
 MOROCCO        |   1998 |  27494366.9903
 MOROCCO        |   1997 |  46904146.9325
 MOROCCO        |   1996 |  44475447.5878
 MOROCCO        |   1995 |  46147142.4113
 MOROCCO        |   1994 |  43548069.8882
 MOROCCO        |   1993 |  46961025.1411
 MOROCCO        |   1992 |  44236961.0878
 MOZAMBIQUE     |   1998 |  27747721.0293
 MOZAMBIQUE     |   1997 |  48041401.3958
 MOZAMBIQUE     |   1996 |  48474806.2970
 MOZAMBIQUE     |   1995 |  46607917.4790
 MOZAMBIQUE     |   1994 |  47112618.6362
 MOZAMBIQUE     |   1993 |  46495520.2273
 MOZAMBIQUE     |   1992 |  47169099.7942
 Nation1        |   1998 |  29673849.3289
 Nation1        |   1997 |  51761191.0489
 Nation1        |   1996 |  49616137.2991
 Nation1        |   1995 |  50997902.9815
 Nation1        |   1994 |  51387406.5077
 Nation1        |   1993 |  51630727.7938
 Nation1        |   1992 |  48294475.2958
 Nation10       |   1998 |  28786710.0335
 Nation10       |   1997 |  48069126.1225
 Nation10       |   1996 |  50519826.7868
 Nation10       |   1995 |  50574054.3168
 Nation10       |   1994 |  48757199.3742
 Nation10       |   1993 |  49383727.9308
 Nation10       |   1992 |  49940207.7790
 Nation11       |   1998 |  31011472.6973
 Nation11       |   1997 |  49383201.1759
 Nation11       |   1996 |  51545890.3522
 Nation11       |   1995 |  51206538.1176
 Nation11       |   1994 |  51141449.5359
 Nation11       |   1993 |  48166905.8622
 Nation11       |   1992 |  48106720.5380
 Nation12       |   1998 |  26220884.2759
 Nation12       |   1997 |  45119847.0199
 Nation12       |   1996 |  46632146.5670
 Nation12       |   1995 |  43854941.0327
 Nation12       |   1994 |  45661984.0268
 Nation12       |   1993 |  42551927.8099
 Nation12       |   1992 |  45888284.3013
 Nation13       |   1998 |  25104721.0412
 Nation13       |   1997 |  42786845.2325
 Nation13       |   1996 |  41484141.4122
 Nation13       |   1995 |  42111119.1074
 Nation13       |   1994 |  43136286.3303
 Nation13       |   1993 |  45717659.4789
 Nation13       |   1992 |  42699944.2602
 Nation14       |   1998 |  25769333.8935
 Nation14       |   1997 |  41573523.8735
 Nation14       |   1996 |  44032488.2692
 Nation14       |   1995 |  42487927.6921
 Nation14       |   1994 |  45238936.7152
 Nation14       |   1993 |  41016427.4154
 Nation14       |   1992 |  43471249.7770
 Nation15       |   1998 |  27494366.9903
 Nation15       |   1997 |  46904146.9325
 Nation15       |   1996 |  44475447.5878
 Nation15       |   1995 |  46147142.4113
 Nation15       |   1994 |  43548069.8882
 Nation15       |   1993 |  46961025.1411
 Nation15       |   1992 |  44236961.0878
 Nation16       |   1998 |  27747721.0293
 Nation16       |   1997 |  48041401.3958
 Nation16       |   1996 |  48474806.2970
 Nation16       |   1995 |  46607917.4790
 Nation16       |   1994 |  47112618.6362
 Nation16       |   1993 |  46495520.2273
 Nation16       |   1992 |  47169099.7942
 Nation17       |   1998 |  27489132.0509
 Nation17       |   1997 |  47009475.0251
 Nation17       |   1996 |  49638924.5353
 Nation17       |   1995 |  47699339.9009
 Nation17       |   1994 |  46835518.1647
 Nation17       |   1993 |  48420803.7869
 Nation17       |   1992 |  48449552.2487
 Nation18       |   1998 |  26984695.0885
 Nation18       |   1997 |  47664081.9062
 Nation18       |   1996 |  47330086.8747
 Nation18       |   1995 |  47191479.0198
 Nation18       |   1994 |  47051152.7078
 Nation18       |   1993 |  45628657.3327
 Nation18       |   1992 |  47723936.5831
 Nation19       |   1998 |  27694169.1271
 Nation19       |   1997 |  45851436.4259
 Nation19       |   1996 |  46246400.8667
 Nation19       |   1995 |  45427470.7376
 Nation19       |   1994 |  46982167.6404
 Nation19       |   1993 |  45768112.4094
 Nation19       |   1992 |  45656369.6571
 Nation2        |   1998 |  27862692.6588
 Nation2        |   1997 |  47489277.5707
 Nation2        |   1996 |  46817470.7933
 Nation2        |   1995 |  47659938.0457
 Nation2        |   1994 |  46929443.0123
 Nation2        |   1993 |  49095659.7342
 Nation2        |   1992 |  46995932.1568
 Nation20       |   1998 |  26781344.8049
 Nation20       |   1997 |  46352585.5923
 Nation20       |   1996 |  49341900.2431
 Nation20       |   1995 |  46873227.8891
 Nation20       |   1994 |  47519739.6467
 Nation20       |   1993 |  45876964.9372
 Nation20       |   1992 |  44977250.9483
 Nation21       |   1998 |  28824639.7126
 Nation21       |   1997 |  53074431.3737
 Nation21       |   1996 |  52395201.0489
 Nation21       |   1995 |  51606679.6595
 Nation21       |   1994 |  47205982.9970
 Nation21       |   1993 |  48652653.4365
 Nation21       |   1992 |  50660715.3425
 Nation22       |   1998 |  29153062.3907
 Nation22       |   1997 |  46465420.9298
 Nation22       |   1996 |  50154491.4851
 Nation22       |   1995 |  46247533.9528
 Nation22       |   1994 |  47328991.6558
 Nation22       |   1993 |  48085850.4648
 Nation22       |   1992 |  48680004.5971
 Nation23       |   1998 |  27769138.1044
 Nation23       |   1997 |  46221859.0477
 Nation23       |   1996 |  44568374.8537
 Nation23       |   1995 |  47773844.0436
 Nation23       |   1994 |  47243767.5040
 Nation23       |   1993 |  45686342.2364
 Nation23       |   1992 |  45549507.1445
 Nation24       |   1998 |  26969960.3746
 Nation24       |   1997 |  47188434.0628
 Nation24       |   1996 |  46984450.5739
 Nation24       |   1995 |  47143722.5752
 Nation24       |   1994 |  44618002.9613
 Nation24       |   1993 |  46540419.5482
 Nation24       |   1992 |  45714233.0263
 Nation25       |   1998 |    104164.4005
 Nation25       |   1997 |    150947.4590
 Nation25       |   1996 |    182598.6750
 Nation25       |   1995 |    184728.6612
 Nation25       |   1994 |    150382.2577
 Nation25       |   1993 |    170416.2032
 Nation25       |   1992 |    158384.8902
 Nation26       |   1998 |     34945.2736
 Nation26       |   1997 |     74246.7872
 Nation26       |   1995 |     79881.0673
 Nation26       |   1993 |     20984.3407
 Nation26       |   1992 |     82170.9102
 Nation3        |   1998 |  29211839.5094
 Nation3        |   1997 |  50026954.2770
 Nation3        |   1996 |  49426056.1341
 Nation3        |   1995 |  50022643.3440
 Nation3        |   1994 |  49954677.3615
 Nation3        |   1993 |  51046965.1367
 Nation3        |   1992 |  51847182.9253
 Nation30       |   1997 |     92703.9705
 Nation30       |   1996 |     63380.2437
 Nation30       |   1995 |     69317.9815
 Nation30       |   1994 |     53638.8077
 Nation30       |   1993 |     65673.9240
 Nation30       |   1992 |     93336.0316
 Nation32       |   1998 |    192114.2996
 Nation32       |   1997 |     70853.2768
 Nation32       |   1996 |    124391.0692
 Nation32       |   1995 |    153964.8192
 Nation32       |   1994 |    113802.9679
 Nation32       |   1993 |    386993.5902
 Nation32       |   1992 |    287232.5001
 Nation33       |   1998 |    212054.6964
 Nation33       |   1997 |    328288.6218
 Nation33       |   1996 |    347849.5691
 Nation33       |   1995 |    271222.7828
 Nation33       |   1994 |    391733.9159
 Nation33       |   1993 |    385137.3520
 Nation33       |   1992 |    183249.9028
 Nation35       |   1998 |     44572.9244
 Nation35       |   1997 |    120250.1067
 Nation35       |   1996 |     23236.9368
 Nation35       |   1995 |     15771.9884
 Nation35       |   1994 |     86820.5724
 Nation35       |   1993 |    110893.8594
 Nation35       |   1992 |     77597.4262
 Nation36       |   1998 |     57845.6330
 Nation36       |   1997 |     49560.0846
 Nation36       |   1996 |    180200.9010
 Nation36       |   1995 |    226010.8098
 Nation36       |   1994 |    152254.2206
 Nation36       |   1993 |    184465.3764
 Nation36       |   1992 |    114603.3327
 Nation39       |   1998 |    168059.4288
 Nation39       |   1997 |     20651.9124
 Nation39       |   1996 |    128743.0468
 Nation39       |   1995 |    163712.2657
 Nation39       |   1994 |    193580.7372
 Nation39       |   1993 |    211203.8304
 Nation39       |   1992 |     45253.4048
 Nation4        |   1998 |  30212656.5879
 Nation4        |   1997 |  52829916.2456
 Nation4        |   1996 |  49860349.7020
 Nation4        |   1995 |  51303670.0826
 Nation4        |   1994 |  52610415.8745
 Nation4        |   1993 |  51315626.4205
 Nation4        |   1992 |  50852559.4103
 Nation40       |   1998 |     30176.8920
 Nation40       |   1997 |     92912.0668
 Nation40       |   1996 |    123361.2836
 Nation40       |   1995 |     76577.5452
 Nation40       |   1994 |     28004.3412
 Nation40       |   1993 |     73617.5660
 Nation40       |   1992 |     14672.4096
 Nation41       |   1998 |    176207.7892
 Nation41       |   1997 |    137529.6819
 Nation41       |   1996 |    330187.5398
 Nation41       |   1995 |    218211.4294
 Nation41       |   1994 |    229396.5832
 Nation41       |   1993 |    389587.3929
 Nation41       |   1992 |    259991.4750
 Nation42       |   1998 |     89094.1845
 Nation42       |   1997 |    115305.9451
 Nation42       |   1996 |    113529.4698
 Nation42       |   1995 |     83425.7460
 Nation42       |   1994 |     30304.3135
 Nation42       |   1993 |    203794.7382
 Nation42       |   1992 |     44209.4695
 Nation43       |   1998 |    110091.3666
 Nation43       |   1997 |    120448.7228
 Nation43       |   1996 |    161720.7126
 Nation43       |   1995 |    333579.6610
 Nation43       |   1994 |    281913.5113
 Nation43       |   1993 |    163935.4917
 Nation43       |   1992 |    236719.2749
 Nation47       |   1998 |     12067.4325
 Nation47       |   1997 |     22155.2000
 Nation47       |   1996 |     92151.5884
 Nation47       |   1995 |     44477.1491
 Nation47       |   1994 |     83157.1343
 Nation47       |   1993 |    145145.3106
 Nation47       |   1992 |     41531.9610
 Nation48       |   1998 |    173552.9197
 Nation48       |   1997 |    102050.6136
 Nation48       |   1996 |    148989.0739
 Nation48       |   1995 |    163080.9633
 Nation48       |   1994 |    144182.4283
 Nation48       |   1993 |    195182.9528
 Nation48       |   1992 |     62222.1912
 Nation49       |   1998 |     63851.7288
 Nation49       |   1997 |     85588.5736
 Nation49       |   1996 |     50547.8434
 Nation49       |   1995 |     41522.3004
 Nation49       |   1994 |     89481.3446
 Nation49       |   1993 |     79164.1552
 Nation49       |   1992 |     87094.6320
 Nation5        |   1998 |  26354263.9040
 Nation5        |   1997 |  48957551.9372
 Nation5        |   1996 |  43655508.5619
 Nation5        |   1995 |  47099092.4029
 Nation5        |   1994 |  45995523.2080
 Nation5        |   1993 |  45550385.2165
 Nation5        |   1992 |  47436445.6617
 Nation50       |   1998 |     49293.5778
 Nation50       |   1997 |    216328.0964
 Nation50       |   1996 |    322341.8939
 Nation50       |   1995 |    193741.1396
 Nation50       |   1994 |    170609.3620
 Nation50       |   1993 |    179300.7028
 Nation50       |   1992 |    167075.1170
 Nation6        |   1998 |  26254169.4252
 Nation6        |   1997 |  47238877.7262
 Nation6        |   1996 |  46510889.6104
 Nation6        |   1995 |  45262147.7630
 Nation6        |   1994 |  47000705.0121
 Nation6        |   1993 |  46039320.4973
 Nation6        |   1992 |  46594155.1086
 Nation7        |   1998 |  27069393.0994
 Nation7        |   1997 |  46237330.8207
 Nation7        |   1996 |  45350655.9605
 Nation7        |   1995 |  44531720.7846
 Nation7        |   1994 |  45179801.3888
 Nation7        |   1993 |  45159068.3287
 Nation7        |   1992 |  47894372.5821
 Nation8        |   1998 |  28468814.2909
 Nation8        |   1997 |  47635574.7939
 Nation8        |   1996 |  52532684.5462
 Nation8        |   1995 |  46958720.6157
 Nation8        |   1994 |  48002873.2461
 Nation8        |   1993 |  47653025.2845
 Nation8        |   1992 |  45994096.7480
 Nation9        |   1998 |  29550894.7790
 Nation9        |   1997 |  49554659.3932
 Nation9        |   1996 |  49474550.9859
 Nation9        |   1995 |  51461991.5522
 Nation9        |   1994 |  50739394.0786
 Nation9        |   1993 |  51074675.5551
 Nation9        |   1992 |  49382027.7953
 PERU           |   1998 |  27489132.0509
 PERU           |   1997 |  47009475.0251
 PERU           |   1996 |  49638924.5353
 PERU           |   1995 |  47699339.9009
 PERU           |   1994 |  46835518.1647
 PERU           |   1993 |  48420803.7869
 PERU           |   1992 |  48449552.2487
 ROMANIA        |   1998 |  27694169.1271
 ROMANIA        |   1997 |  45851436.4259
 ROMANIA        |   1996 |  46246400.8667
 ROMANIA        |   1995 |  45427470.7376
 ROMANIA        |   1994 |  46982167.6404
 ROMANIA        |   1993 |  45768112.4094
 ROMANIA        |   1992 |  45656369.6571
 RUSSIA         |   1998 |  29153062.3907
 RUSSIA         |   1997 |  46465420.9298
 RUSSIA         |   1996 |  50154491.4851
 RUSSIA         |   1995 |  46247533.9528
 RUSSIA         |   1994 |  47328991.6558
 RUSSIA         |   1993 |  48085850.4648
 RUSSIA         |   1992 |  48680004.5971
 SAUDI ARABIA   |   1998 |  26781344.8049
 SAUDI ARABIA   |   1997 |  46352585.5923
 SAUDI ARABIA   |   1996 |  49341900.2431
 SAUDI ARABIA   |   1995 |  46873227.8891
 SAUDI ARABIA   |   1994 |  47519739.6467
 SAUDI ARABIA   |   1993 |  45876964.9372
 SAUDI ARABIA   |   1992 |  44977250.9483
 UNITED KINGDOM |   1998 |  27769138.1044
 UNITED KINGDOM |   1997 |  46221859.0477
 UNITED KINGDOM |   1996 |  44568374.8537
 UNITED KINGDOM |   1995 |  47773844.0436
 UNITED KINGDOM |   1994 |  47243767.5040
 UNITED KINGDOM |   1993 |  45686342.2364
 UNITED KINGDOM |   1992 |  45549507.1445
 UNITED STATES  |   1998 |  26969960.3746
 UNITED STATES  |   1997 |  47188434.0628
 UNITED STATES  |   1996 |  46984450.5739
 UNITED STATES  |   1995 |  47143722.5752
 UNITED STATES  |   1994 |  44618002.9613
 UNITED STATES  |   1993 |  46540419.5482
 UNITED STATES  |   1992 |  45714233.0263
 VIETNAM        |   1998 |  28824639.7126
 VIETNAM        |   1997 |  53074431.3737
 VIETNAM        |   1996 |  52395201.0489
 VIETNAM        |   1995 |  51606679.6595
 VIETNAM        |   1994 |  47205982.9970
 VIETNAM        |   1993 |  48652653.4365
 VIETNAM        |   1992 |  50660715.3425
(452 rows)

