 s_acctbal |       s_name       |  n_name   | p_partkey |          p_mfgr           |                s_address                 |     s_phone     |                                              s_comment                                               
   9813.29 | Supplier#000005940 | VIETNAM   |    183421 | Manufacturer#3            | h2 ,wLZdgkwlo7KSzQ7WxRr27gv7             | 31-327-330-2818 | alongside of the blithely thin foxes
   9813.29 | Supplier#000005940 | VIETNAM   |    183421 | Manufacturer#3            | h2 ,wLZdgkwlo7KSzQ7WxRr27gv7             | 31-327-330-2818 | alongside of the blithely thin foxes
   9806.44 | Supplier#000008279 | INDIA     |    118278 | Manufacturer#3            | s8Cpz6OlOq3tpxwYV                        | 18-408-246-8407 |  furiously after the foxes. bold pinto beans sleep ab
   9806.44 | Supplier#000008279 | INDIA     |    118278 | Manufacturer#3            | s8Cpz6OlOq3tpxwYV                        | 18-408-246-8407 |  furiously after the foxes. bold pinto beans sleep ab
   9806.44 | Supplier#000008279 | INDIA     |    118278 | Manufacturer#3            | s8Cpz6OlOq3tpxwYV                        | 18-408-246-8407 |  furiously after the foxes. bold pinto beans sleep ab
   9806.44 | Supplier#000008279 | INDIA     |    118278 | Manufacturer#3            | s8Cpz6OlOq3tpxwYV                        | 18-408-246-8407 |  furiously after the foxes. bold pinto beans sleep ab
   9806.44 | Supplier#000008279 | Nation8   |    118278 | Manufacturer#3            | s8Cpz6OlOq3tpxwYV                        | 18-408-246-8407 |  furiously after the foxes. bold pinto beans sleep ab
   9806.44 | Supplier#000008279 | Nation8   |    118278 | Manufacturer#3            | s8Cpz6OlOq3tpxwYV                        | 18-408-246-8407 |  furiously after the foxes. bold pinto beans sleep ab
   9784.29 | Supplier#000007482 | Nation14  |    152451 | Manufacturer#5            | 7MSkjk6Z0e                               | 24-502-520-4698 | the quickly special deposits. ideas among the slyly regular deposits are amon
   9784.29 | Supplier#000007482 | Nation14  |    152451 | Manufacturer#5            | 7MSkjk6Z0e                               | 24-502-520-4698 | the quickly special deposits. ideas among the slyly regular deposits are amon
   9756.30 | Supplier#000004579 | Nation6   |    199540 | Manufacturer#5            | K5nhdAhx6aGpbcRNj0                       | 16-946-122-1848 | ly regular dinos. regular deposi
   9756.30 | Supplier#000004579 | Nation6   |    199540 | Manufacturer#5            | K5nhdAhx6aGpbcRNj0                       | 16-946-122-1848 | ly regular dinos. regular deposi
   9744.22 | Supplier#000002417 | INDONESIA |     37410 | Manufacturer#5            | 2zX,k0aiQ he,N  qVT9DMhP0                | 19-580-615-8291 | unts cajole. regular platelets play furiously slyly ironic packages-- furiou
   9744.22 | Supplier#000002417 | INDONESIA |     37410 | Manufacturer#5            | 2zX,k0aiQ he,N  qVT9DMhP0                | 19-580-615-8291 | unts cajole. regular platelets play furiously slyly ironic packages-- furiou
   9744.22 | Supplier#000002417 | INDONESIA |     37410 | Manufacturer#5            | 2zX,k0aiQ he,N  qVT9DMhP0                | 19-580-615-8291 | unts cajole. regular platelets play furiously slyly ironic packages-- furiou
   9744.22 | Supplier#000002417 | INDONESIA |     37410 | Manufacturer#5            | 2zX,k0aiQ he,N  qVT9DMhP0                | 19-580-615-8291 | unts cajole. regular platelets play furiously slyly ironic packages-- furiou
   9744.22 | Supplier#000002417 | INDONESIA |     69910 | Manufacturer#5            | 2zX,k0aiQ he,N  qVT9DMhP0                | 19-580-615-8291 | unts cajole. regular platelets play furiously slyly ironic packages-- furiou
   9744.22 | Supplier#000002417 | INDONESIA |     69910 | Manufacturer#5            | 2zX,k0aiQ he,N  qVT9DMhP0                | 19-580-615-8291 | unts cajole. regular platelets play furiously slyly ironic packages-- furiou
   9744.22 | Supplier#000002417 | INDONESIA |     69910 | Manufacturer#5            | 2zX,k0aiQ he,N  qVT9DMhP0                | 19-580-615-8291 | unts cajole. regular platelets play furiously slyly ironic packages-- furiou
   9744.22 | Supplier#000002417 | INDONESIA |     69910 | Manufacturer#5            | 2zX,k0aiQ he,N  qVT9DMhP0                | 19-580-615-8291 | unts cajole. regular platelets play furiously slyly ironic packages-- furiou
   9740.75 | Supplier#000009768 | Nation14  |     42255 | Manufacturer#5            | ,1vdQhM1gDmOI09jy2XqgsUYcL1BSiG7         | 24-751-943-8632 | eep blithely among the quickly ironic r
   9740.75 | Supplier#000009768 | Nation14  |     42255 | Manufacturer#5            | ,1vdQhM1gDmOI09jy2XqgsUYcL1BSiG7         | 24-751-943-8632 | eep blithely among the quickly ironic r
   9659.88 | Supplier#000006851 | INDIA     |     84342 | Manufacturer#2            | MJaGguxWeT3VfMompj8IIUztvoi3,bCJaT       | 18-367-247-2589 | ts integrate carefully pending ideas. regular deposits doubt slyly blithely ironic requests. blit
   9659.88 | Supplier#000006851 | INDIA     |     84342 | Manufacturer#2            | MJaGguxWeT3VfMompj8IIUztvoi3,bCJaT       | 18-367-247-2589 | ts integrate carefully pending ideas. regular deposits doubt slyly blithely ironic requests. blit
   9659.88 | Supplier#000006851 | INDIA     |     84342 | Manufacturer#2            | MJaGguxWeT3VfMompj8IIUztvoi3,bCJaT       | 18-367-247-2589 | ts integrate carefully pending ideas. regular deposits doubt slyly blithely ironic requests. blit
   9659.88 | Supplier#000006851 | INDIA     |     84342 | Manufacturer#2            | MJaGguxWeT3VfMompj8IIUztvoi3,bCJaT       | 18-367-247-2589 | ts integrate carefully pending ideas. regular deposits doubt slyly blithely ironic requests. blit
   9659.88 | Supplier#000006851 | Nation8   |     84342 | Manufacturer#2            | MJaGguxWeT3VfMompj8IIUztvoi3,bCJaT       | 18-367-247-2589 | ts integrate carefully pending ideas. regular deposits doubt slyly blithely ironic requests. blit
   9659.88 | Supplier#000006851 | Nation8   |     84342 | Manufacturer#2            | MJaGguxWeT3VfMompj8IIUztvoi3,bCJaT       | 18-367-247-2589 | ts integrate carefully pending ideas. regular deposits doubt slyly blithely ironic requests. blit
   9658.99 | Supplier#000000143 | JAPAN     |    152597 | Manufacturer#5            | a3v,6RZMN9p FzRTdV,fm7ehoVgEhifejGnrNY4H | 22-916-300-5765 | s lose slyly about the blithely unusual asymptotes. blithely silent instructions cou
   9658.99 | Supplier#000000143 | JAPAN     |    152597 | Manufacturer#5            | a3v,6RZMN9p FzRTdV,fm7ehoVgEhifejGnrNY4H | 22-916-300-5765 | s lose slyly about the blithely unusual asymptotes. blithely silent instructions cou
   9639.46 | Supplier#000005141 | Nation13  |     40132 | Manufacturer#4            | IkbWxJSDqWE70                            | 23-774-675-2750 | refully even instructions nag blithely a
   9639.46 | Supplier#000005141 | Nation13  |     40132 | Manufacturer#4            | IkbWxJSDqWE70                            | 23-774-675-2750 | refully even instructions nag blithely a
   9639.46 | Supplier#000005141 | Nation13  |     87616 | Manufacturer#3            | IkbWxJSDqWE70                            | 23-774-675-2750 | refully even instructions nag blithely a
   9639.46 | Supplier#000005141 | Nation13  |     87616 | Manufacturer#3            | IkbWxJSDqWE70                            | 23-774-675-2750 | refully even instructions nag blithely a
   9636.13 | Supplier#000005572 | Nation21  |    135571 | Manufacturer#5            | o0VYozeSbEyqck                           | 31-829-399-4904 |  unusual accounts wake along the carefully express requests. c
   9636.13 | Supplier#000005572 | Nation21  |    135571 | Manufacturer#5            | o0VYozeSbEyqck                           | 31-829-399-4904 |  unusual accounts wake along the carefully express requests. c
   9636.13 | Supplier#000005572 | VIETNAM   |    135571 | Manufacturer#5            | o0VYozeSbEyqck                           | 31-829-399-4904 |  unusual accounts wake along the carefully express requests. c
   9636.13 | Supplier#000005572 | VIETNAM   |    135571 | Manufacturer#5            | o0VYozeSbEyqck                           | 31-829-399-4904 |  unusual accounts wake along the carefully express requests. c
   9634.26 | Supplier#000004927 | INDONESIA |    197369 | Manufacturer#5            | h5WAYrJzZMHnOnz5EgO,EvjnJPzp0FhX         | 19-636-113-7546 | refully. express deposits detect around the blithely ironic dependencies. r
   9634.26 | Supplier#000004927 | INDONESIA |    197369 | Manufacturer#5            | h5WAYrJzZMHnOnz5EgO,EvjnJPzp0FhX         | 19-636-113-7546 | refully. express deposits detect around the blithely ironic dependencies. r
   9634.26 | Supplier#000004927 | INDONESIA |    197369 | Manufacturer#5            | h5WAYrJzZMHnOnz5EgO,EvjnJPzp0FhX         | 19-636-113-7546 | refully. express deposits detect around the blithely ironic dependencies. r
   9634.26 | Supplier#000004927 | INDONESIA |    197369 | Manufacturer#5            | h5WAYrJzZMHnOnz5EgO,EvjnJPzp0FhX         | 19-636-113-7546 | refully. express deposits detect around the blithely ironic dependencies. r
   9629.88 | Supplier#000003038 | Nation21  |     55522 | Manufacturer#4            | F5Tz7P juuCbABDuW8JGomRFxqVHBWyQrsLwg4i  | 31-160-454-6537 | odolites. bold, even packages across the blithely ironic deposits sleep
   9629.88 | Supplier#000003038 | Nation21  |     55522 | Manufacturer#4            | F5Tz7P juuCbABDuW8JGomRFxqVHBWyQrsLwg4i  | 31-160-454-6537 | odolites. bold, even packages across the blithely ironic deposits sleep
   9629.88 | Supplier#000003038 | VIETNAM   |     55522 | Manufacturer#4            | F5Tz7P juuCbABDuW8JGomRFxqVHBWyQrsLwg4i  | 31-160-454-6537 | odolites. bold, even packages across the blithely ironic deposits sleep
   9629.88 | Supplier#000003038 | VIETNAM   |     55522 | Manufacturer#4            | F5Tz7P juuCbABDuW8JGomRFxqVHBWyQrsLwg4i  | 31-160-454-6537 | odolites. bold, even packages across the blithely ironic deposits sleep
   9611.79 | Supplier#000005305 | Nation13  |    112793 | Manufacturer#3            | nq0BDIq7RkB3Nlf29acxIE                   | 23-259-536-6169 |  requests haggle slyly ideas. furiously express requests haggle furiously above the ironic theodo
   9611.79 | Supplier#000005305 | Nation13  |    112793 | Manufacturer#3            | nq0BDIq7RkB3Nlf29acxIE                   | 23-259-536-6169 |  requests haggle slyly ideas. furiously express requests haggle furiously above the ironic theodo
   9611.79 | Supplier#000005305 | Nation13  |    177753 | Manufacturer#5            | nq0BDIq7RkB3Nlf29acxIE                   | 23-259-536-6169 |  requests haggle slyly ideas. furiously express requests haggle furiously above the ironic theodo
   9611.79 | Supplier#000005305 | Nation13  |    177753 | Manufacturer#5            | nq0BDIq7RkB3Nlf29acxIE                   | 23-259-536-6169 |  requests haggle slyly ideas. furiously express requests haggle furiously above the ironic theodo
   9590.05 | Supplier#000004601 | Nation5   |    187046 | Manufacturer#5            | 8gjWZovIX6Ay8eMf4L RwDAaIS4J             | 15-139-205-1544 | rave deposits wake slyly against the bold, 
   9590.05 | Supplier#000004601 | Nation5   |    187046 | Manufacturer#5            | 8gjWZovIX6Ay8eMf4L RwDAaIS4J             | 15-139-205-1544 | rave deposits wake slyly against the bold, 
   9576.53 | Supplier#000008400 | CHINA     |    123375 | Manufacturer#3            | y0rF4,BBqwBE6hFAdkEMOeSVoVydZ            | 28-215-743-8600 | ecial instructions. regular, pending deposits boost stealthily after the requests. bold
   9576.53 | Supplier#000008400 | CHINA     |    123375 | Manufacturer#3            | y0rF4,BBqwBE6hFAdkEMOeSVoVydZ            | 28-215-743-8600 | ecial instructions. regular, pending deposits boost stealthily after the requests. bold
   9573.78 | Supplier#000006631 | Nation14  |    164114 | Manufacturer#3            | oZJTRXYYSH2Ih                            | 24-622-570-7871 |  fluffily blithely regular accounts. furiousl
   9573.78 | Supplier#000006631 | Nation14  |    164114 | Manufacturer#3            | oZJTRXYYSH2Ih                            | 24-622-570-7871 |  fluffily blithely regular accounts. furiousl
   9561.30 | Supplier#000006000 | Nation21  |    188445 | Manufacturer#1            | iyk7ceSNxmt                              | 31-542-384-1537 | gside of the regular, ruthless waters. blithe dependencies cajole blithely across the carefully pen
   9561.30 | Supplier#000006000 | Nation21  |    188445 | Manufacturer#1            | iyk7ceSNxmt                              | 31-542-384-1537 | gside of the regular, ruthless waters. blithe dependencies cajole blithely across the carefully pen
   9561.30 | Supplier#000006000 | VIETNAM   |    188445 | Manufacturer#1            | iyk7ceSNxmt                              | 31-542-384-1537 | gside of the regular, ruthless waters. blithe dependencies cajole blithely across the carefully pen
   9561.30 | Supplier#000006000 | VIETNAM   |    188445 | Manufacturer#1            | iyk7ceSNxmt                              | 31-542-384-1537 | gside of the regular, ruthless waters. blithe dependencies cajole blithely across the carefully pen
   9555.51 | Supplier#000007552 | JAPAN     |    105041 | Manufacturer#3            | yV1BjDrL0DSLzJuhSNMkpQ                   | 22-747-741-3776 | its haggle along the requests. express, unusual foxes along the instructions was alongside of th
   9555.51 | Supplier#000007552 | JAPAN     |    105041 | Manufacturer#3            | yV1BjDrL0DSLzJuhSNMkpQ                   | 22-747-741-3776 | its haggle along the requests. express, unusual foxes along the instructions was alongside of th
   9547.00 | Supplier#000000414 | Nation21  |    120413 | Manufacturer#3            | FkmlHgU9pqCboQ32Lcx                      | 31-118-322-1371 | . blithely unusual packages might cajole blithely regular requests.
   9547.00 | Supplier#000000414 | Nation21  |    120413 | Manufacturer#3            | FkmlHgU9pqCboQ32Lcx                      | 31-118-322-1371 | . blithely unusual packages might cajole blithely regular requests.
   9547.00 | Supplier#000000414 | VIETNAM   |    120413 | Manufacturer#3            | FkmlHgU9pqCboQ32Lcx                      | 31-118-322-1371 | . blithely unusual packages might cajole blithely regular requests.
   9547.00 | Supplier#000000414 | VIETNAM   |    120413 | Manufacturer#3            | FkmlHgU9pqCboQ32Lcx                      | 31-118-322-1371 | . blithely unusual packages might cajole blithely regular requests.
   9539.80 | Supplier#000003217 | INDIA     |     98198 | Manufacturer#5            | B UeP1vTLP Do1h A2H2ajkrWrq              | 18-769-187-1802 | er quiet requests. ironic ideas sleep blithely. sl
   9539.80 | Supplier#000003217 | INDIA     |     98198 | Manufacturer#5            | B UeP1vTLP Do1h A2H2ajkrWrq              | 18-769-187-1802 | er quiet requests. ironic ideas sleep blithely. sl
   9539.80 | Supplier#000003217 | INDIA     |     98198 | Manufacturer#5            | B UeP1vTLP Do1h A2H2ajkrWrq              | 18-769-187-1802 | er quiet requests. ironic ideas sleep blithely. sl
   9539.80 | Supplier#000003217 | INDIA     |     98198 | Manufacturer#5            | B UeP1vTLP Do1h A2H2ajkrWrq              | 18-769-187-1802 | er quiet requests. ironic ideas sleep blithely. sl
   9539.80 | Supplier#000003217 | Nation8   |     98198 | Manufacturer#5            | B UeP1vTLP Do1h A2H2ajkrWrq              | 18-769-187-1802 | er quiet requests. ironic ideas sleep blithely. sl
   9539.80 | Supplier#000003217 | Nation8   |     98198 | Manufacturer#5            | B UeP1vTLP Do1h A2H2ajkrWrq              | 18-769-187-1802 | er quiet requests. ironic ideas sleep blithely. sl
   9533.47 | Supplier#000006979 | Nation5   |    104468 | Manufacturer#3            | eHXl70pXPk8O5vrZJOG1XrMunsmu8iZPk        | 15-793-442-6510 | oss the blithely even packages breach after the furiously regular requests. furiousl
   9533.47 | Supplier#000006979 | Nation5   |    104468 | Manufacturer#3            | eHXl70pXPk8O5vrZJOG1XrMunsmu8iZPk        | 15-793-442-6510 | oss the blithely even packages breach after the furiously regular requests. furiousl
   9524.33 | Supplier#000009550 | INDONESIA |     29549 | Manufacturer#5            | rsOABl2HDhHUl4kpPsj0gbZPONYWOrfbs8       | 19-471-689-2492 | re ruthlessly against the fluffily bo
   9524.33 | Supplier#000009550 | INDONESIA |     29549 | Manufacturer#5            | rsOABl2HDhHUl4kpPsj0gbZPONYWOrfbs8       | 19-471-689-2492 | re ruthlessly against the fluffily bo
   9524.33 | Supplier#000009550 | INDONESIA |     29549 | Manufacturer#5            | rsOABl2HDhHUl4kpPsj0gbZPONYWOrfbs8       | 19-471-689-2492 | re ruthlessly against the fluffily bo
   9524.33 | Supplier#000009550 | INDONESIA |     29549 | Manufacturer#5            | rsOABl2HDhHUl4kpPsj0gbZPONYWOrfbs8       | 19-471-689-2492 | re ruthlessly against the fluffily bo
   9524.33 | Supplier#000009550 | INDONESIA |    157034 | Manufacturer#4            | rsOABl2HDhHUl4kpPsj0gbZPONYWOrfbs8       | 19-471-689-2492 | re ruthlessly against the fluffily bo
   9524.33 | Supplier#000009550 | INDONESIA |    157034 | Manufacturer#4            | rsOABl2HDhHUl4kpPsj0gbZPONYWOrfbs8       | 19-471-689-2492 | re ruthlessly against the fluffily bo
   9524.33 | Supplier#000009550 | INDONESIA |    157034 | Manufacturer#4            | rsOABl2HDhHUl4kpPsj0gbZPONYWOrfbs8       | 19-471-689-2492 | re ruthlessly against the fluffily bo
   9524.33 | Supplier#000009550 | INDONESIA |    157034 | Manufacturer#4            | rsOABl2HDhHUl4kpPsj0gbZPONYWOrfbs8       | 19-471-689-2492 | re ruthlessly against the fluffily bo
   9522.75 | Supplier#000008228 | JAPAN     |     70706 | Manufacturer#1            | WyCUGJa30D                               | 22-915-176-4354 | deas. regular deposits alongside of the slyly thin packages cajole
   9522.75 | Supplier#000008228 | JAPAN     |     70706 | Manufacturer#1            | WyCUGJa30D                               | 22-915-176-4354 | deas. regular deposits alongside of the slyly thin packages cajole
   9522.75 | Supplier#000008228 | JAPAN     |    190670 | Manufacturer#4            | WyCUGJa30D                               | 22-915-176-4354 | deas. regular deposits alongside of the slyly thin packages cajole
   9522.75 | Supplier#000008228 | JAPAN     |    190670 | Manufacturer#4            | WyCUGJa30D                               | 22-915-176-4354 | deas. regular deposits alongside of the slyly thin packages cajole
   9504.89 | Supplier#000000767 | Nation21  |     98257 | Manufacturer#5            | bHEuqKKdmCMEKOV                          | 31-880-346-2583 | e slyly carefully special accounts. furiously bold foxes sleep regularly. furiously unusual
   9504.89 | Supplier#000000767 | Nation21  |     98257 | Manufacturer#5            | bHEuqKKdmCMEKOV                          | 31-880-346-2583 | e slyly carefully special accounts. furiously bold foxes sleep regularly. furiously unusual
   9504.89 | Supplier#000000767 | VIETNAM   |     98257 | Manufacturer#5            | bHEuqKKdmCMEKOV                          | 31-880-346-2583 | e slyly carefully special accounts. furiously bold foxes sleep regularly. furiously unusual
   9504.89 | Supplier#000000767 | VIETNAM   |     98257 | Manufacturer#5            | bHEuqKKdmCMEKOV                          | 31-880-346-2583 | e slyly carefully special accounts. furiously bold foxes sleep regularly. furiously unusual
   9491.33 | Supplier#000005355 | JAPAN     |     82846 | Manufacturer#2            | 4PjyW,Ua1KgEZmsEv1tmtKoOvkziBKzSRhLN N   | 22-185-107-2267 | egular courts around the slyly even ide
   9491.33 | Supplier#000005355 | JAPAN     |     82846 | Manufacturer#2            | 4PjyW,Ua1KgEZmsEv1tmtKoOvkziBKzSRhLN N   | 22-185-107-2267 | egular courts around the slyly even ide
   9441.30 | Supplier#000006449 | Nation5   |    161416 | Manufacturer#3            | 7Q3BIdoISAl8JI85e9IusWcgx,R              | 15-943-315-1987 | ngside of the even, bold instructions. silently even request
   9441.30 | Supplier#000006449 | Nation5   |    161416 | Manufacturer#3            | 7Q3BIdoISAl8JI85e9IusWcgx,R              | 15-943-315-1987 | ngside of the even, bold instructions. silently even request
   9380.82 | Supplier#000007649 | INDONESIA |    102628 | Manufacturer#2            | ifREImqBy8                               | 19-179-565-3935 | old packages about the ideas sleep doggedly unusual, special packages. evenly ironic pack
   9380.82 | Supplier#000007649 | INDONESIA |    102628 | Manufacturer#2            | ifREImqBy8                               | 19-179-565-3935 | old packages about the ideas sleep doggedly unusual, special packages. evenly ironic pack
   9380.82 | Supplier#000007649 | INDONESIA |    102628 | Manufacturer#2            | ifREImqBy8                               | 19-179-565-3935 | old packages about the ideas sleep doggedly unusual, special packages. evenly ironic pack
   9380.82 | Supplier#000007649 | INDONESIA |    102628 | Manufacturer#2            | ifREImqBy8                               | 19-179-565-3935 | old packages about the ideas sleep doggedly unusual, special packages. evenly ironic pack
   9380.43 | Supplier#000003810 | Nation21  |    103809 | Manufacturer#4            | 1zPgEZHmn0fbUaQDRNH,uZ uci               | 31-319-356-3632 | l instructions play furiously bold accounts. bold, final accounts a
   9380.43 | Supplier#000003810 | Nation21  |    103809 | Manufacturer#4            | 1zPgEZHmn0fbUaQDRNH,uZ uci               | 31-319-356-3632 | l instructions play furiously bold accounts. bold, final accounts a
   9380.43 | Supplier#000003810 | VIETNAM   |    103809 | Manufacturer#4            | 1zPgEZHmn0fbUaQDRNH,uZ uci               | 31-319-356-3632 | l instructions play furiously bold accounts. bold, final accounts a
   9380.43 | Supplier#000003810 | VIETNAM   |    103809 | Manufacturer#4            | 1zPgEZHmn0fbUaQDRNH,uZ uci               | 31-319-356-3632 | l instructions play furiously bold accounts. bold, final accounts a
   9364.67 | Supplier#000000551 | INDIA     |    128038 | Manufacturer#1            | ZNiqP1w6Z SGZsLllIhaicTnLCCuAepdNbkm6pJ  | 18-297-775-8421 | lithely even instructions poach quickly. furiously bold accounts sleep final, final accoun
   9364.67 | Supplier#000000551 | INDIA     |    128038 | Manufacturer#1            | ZNiqP1w6Z SGZsLllIhaicTnLCCuAepdNbkm6pJ  | 18-297-775-8421 | lithely even instructions poach quickly. furiously bold accounts sleep final, final accoun
   9364.67 | Supplier#000000551 | INDIA     |    128038 | Manufacturer#1            | ZNiqP1w6Z SGZsLllIhaicTnLCCuAepdNbkm6pJ  | 18-297-775-8421 | lithely even instructions poach quickly. furiously bold accounts sleep final, final accoun
   9364.67 | Supplier#000000551 | INDIA     |    128038 | Manufacturer#1            | ZNiqP1w6Z SGZsLllIhaicTnLCCuAepdNbkm6pJ  | 18-297-775-8421 | lithely even instructions poach quickly. furiously bold accounts sleep final, final accoun
   9364.67 | Supplier#000000551 | Nation8   |    128038 | Manufacturer#1            | ZNiqP1w6Z SGZsLllIhaicTnLCCuAepdNbkm6pJ  | 18-297-775-8421 | lithely even instructions poach quickly. furiously bold accounts sleep final, final accoun
   9364.67 | Supplier#000000551 | Nation8   |    128038 | Manufacturer#1            | ZNiqP1w6Z SGZsLllIhaicTnLCCuAepdNbkm6pJ  | 18-297-775-8421 | lithely even instructions poach quickly. furiously bold accounts sleep final, final accoun
   9352.84 | Supplier#000001795 | INDONESIA |    194237 | Manufacturer#2            | wmxB8RWp0XJpNqekpZEsHaD                  | 19-853-380-2417 | d haggle. final theodolites sleep among the blithely fi
   9352.84 | Supplier#000001795 | INDONESIA |    194237 | Manufacturer#2            | wmxB8RWp0XJpNqekpZEsHaD                  | 19-853-380-2417 | d haggle. final theodolites sleep among the blithely fi
   9352.84 | Supplier#000001795 | INDONESIA |    194237 | Manufacturer#2            | wmxB8RWp0XJpNqekpZEsHaD                  | 19-853-380-2417 | d haggle. final theodolites sleep among the blithely fi
   9352.84 | Supplier#000001795 | INDONESIA |    194237 | Manufacturer#2            | wmxB8RWp0XJpNqekpZEsHaD                  | 19-853-380-2417 | d haggle. final theodolites sleep among the blithely fi
   9298.02 | Supplier#000005462 | Nation6   |     22959 | Manufacturer#2            | l1pDn,uF2LneHyb6bGb3UnH                  | 16-803-926-9943 |  even theodolites. furiously ironic deposits haggle. pa
   9298.02 | Supplier#000005462 | Nation6   |     22959 | Manufacturer#2            | l1pDn,uF2LneHyb6bGb3UnH                  | 16-803-926-9943 |  even theodolites. furiously ironic deposits haggle. pa
   9249.17 | Supplier#000003282 | JAPAN     |     63281 | Manufacturer#5            | ZYRZsEp8l,kp3h6LsFiDk                    | 22-476-692-7508 | lar pinto beans. furiously regular packages use quickly. packages 
   9249.17 | Supplier#000003282 | JAPAN     |     63281 | Manufacturer#5            | ZYRZsEp8l,kp3h6LsFiDk                    | 22-476-692-7508 | lar pinto beans. furiously regular packages use quickly. packages 
   9248.28 | Supplier16         | Nation30  |     22509 | Manufacturer#5            | Address 16                               | 469207279       | Supplier comment 16
   9248.28 | Supplier16         | Nation30  |     22509 | Manufacturer#5            | Address 16                               | 469207279       | Supplier comment 16
   9248.28 | Supplier16         | Nation30  |    124991 | Manufacturer#4            | Address 16                               | 469207279       | Supplier comment 16
   9248.28 | Supplier16         | Nation30  |    124991 | Manufacturer#4            | Address 16                               | 469207279       | Supplier comment 16
   9209.53 | Supplier#000001313 | JAPAN     |     21312 | Manufacturer#5            | 8Rh,5SSqCH                               | 22-203-596-3566 | ckages wake. slyly ironic instructions wake accounts! quickly ironic epitaphs hag
