 s_suppkey |       s_name       | l_partkey | qty_shipped 
      5808 | Supplier#000005808 |     73300 |          10
      5896 | Supplier#000005896 |    105895 |          61
      6210 | Supplier#000006210 |    168661 |          67
      6253 | Supplier#000006253 |     71238 |          46
      6326 | Supplier#000006326 |     73818 |          12
      6378 | Supplier#000006378 |     23875 |          45
      6378 | Supplier#000006378 |     43873 |          31
      6381 | Supplier#000006381 |     28874 |          62
      6381 | Supplier#000006381 |     53875 |          45
      6381 | Supplier#000006381 |     73873 |          32
      6537 | Supplier#000006537 |      1536 |          51
      6537 | Supplier#000006537 |    124024 |          22
      6547 | Supplier#000006547 |    191508 |           1
      6561 | Supplier#000006561 |    119027 |          31
      6596 | Supplier#000006596 |     61583 |          46
      6598 | Supplier#000006598 |    199040 |          14
      6611 | Supplier#000006611 |    199053 |          32
      6617 | Supplier#000006617 |    164100 |          49
      6629 | Supplier#000006629 |    154113 |          83
      6737 | Supplier#000006737 |     26736 |          39
      6737 | Supplier#000006737 |     56736 |          44
      6757 | Supplier#000006757 |    114245 |          80
      6800 | Supplier#000006800 |    141771 |          50
      6800 | Supplier#000006800 |    179248 |         110
      6824 | Supplier#000006824 |    179272 |          78
      6825 | Supplier#000006825 |    121800 |          39
      6925 | Supplier#000006925 |    179373 |          38
      6939 | Supplier#000006939 |    111916 |          40
      6939 | Supplier#000006939 |    119405 |          84
      6999 | Supplier#000006999 |    141970 |          16
      7002 | Supplier#000007002 |    197001 |          17
      7021 | Supplier#000007021 |     49508 |          14
      7054 | Supplier#000007054 |      7053 |          49
      7061 | Supplier#000007061 |    149518 |          73
      7127 | Supplier#000007127 |    102106 |          38
      7255 | Supplier#000007255 |     27254 |          75
      7255 | Supplier#000007255 |    102234 |          32
      7261 | Supplier#000007261 |     67260 |          35
      7261 | Supplier#000007261 |     79739 |          45
      7261 | Supplier#000007261 |    172226 |          47
      7290 | Supplier#000007290 |    122265 |           7
      7296 | Supplier#000007296 |     77295 |          13
      7312 | Supplier#000007312 |    192273 |          21
      7370 | Supplier#000007370 |    164853 |          22
      7382 | Supplier#000007382 |    112359 |          34
      7417 | Supplier#000007417 |     69898 |          35
      7441 | Supplier#000007441 |    149898 |          52
      7532 | Supplier#000007532 |     35028 |          21
      7656 | Supplier#000007656 |     42647 |          20
      7656 | Supplier#000007656 |    170104 |          57
      7662 | Supplier#000007662 |    127661 |         161
      7909 | Supplier#000007909 |    107908 |           9
      7909 | Supplier#000007909 |    192870 |          21
      7950 | Supplier#000007950 |     60431 |          80
      8030 | Supplier#000008030 |    188029 |         143
      8055 | Supplier#000008055 |    190497 |          46
      8105 | Supplier#000008105 |     85596 |          43
      8136 | Supplier#000008136 |     60617 |          36
      8147 | Supplier#000008147 |     78146 |         105
      8283 | Supplier#000008283 |     75775 |          33
      8283 | Supplier#000008283 |    173248 |          21
      8301 | Supplier#000008301 |    170749 |          14
      8331 | Supplier#000008331 |     10827 |          26
      8376 | Supplier#000008376 |    190818 |           2
      8390 | Supplier#000008390 |    198389 |           4
      8529 | Supplier#000008529 |     11025 |          69
      8551 | Supplier#000008551 |    126038 |          48
      8669 | Supplier#000008669 |    183632 |          33
      8811 | Supplier#000008811 |      6310 |          13
      8882 | Supplier#000008882 |    123857 |          33
      8913 | Supplier#000008913 |     91385 |          12
      9137 | Supplier#000009137 |     76629 |          56
      9137 | Supplier#000009137 |    184100 |          34
      9190 | Supplier#000009190 |    131650 |          40
      9200 | Supplier#000009200 |     84183 |          47
      9268 | Supplier#000009268 |    114245 |          18
      9337 | Supplier#000009337 |     84320 |          43
      9337 | Supplier#000009337 |     94318 |          73
      9561 | Supplier#000009561 |     69560 |          49
      9561 | Supplier#000009561 |    107050 |          69
      9643 | Supplier#000009643 |     89642 |          56
      9721 | Supplier#000009721 |     64708 |          41
      9758 | Supplier#000009758 |     79757 |          46
      9758 | Supplier#000009758 |    174723 |          32
      9835 | Supplier#000009835 |    132295 |           2
      9855 | Supplier#000009855 |    194816 |          40
      9861 | Supplier#000009861 |      7360 |          91
      9891 | Supplier#000009891 |     59890 |          34
      9896 | Supplier#000009896 |    119895 |          49
(215 rows)

