     nation     | l_year |     profit     
 Nation11       |   1997 |  50079247.0362
 Nation11       |   1996 |  51131040.4341
 Nation11       |   1995 |  50970357.3179
 Nation11       |   1994 |  50755789.2005
 Nation11       |   1993 |  48768109.4441
 Nation11       |   1992 |  39805932.6744
 Nation12       |   1998 |  34297428.5184
 Nation12       |   1997 |  45036678.4336
 Nation12       |   1996 |  45752249.5403
 Nation12       |   1995 |  43730482.2661
 Nation12       |   1994 |  46355293.9057
 Nation12       |   1993 |  43203772.9932
 Nation12       |   1992 |  37554109.3762
 Nation13       |   1998 |  31093944.7939
 Nation13       |   1997 |  43372702.3948
 Nation13       |   1996 |  42449648.1854
 Nation13       |   1995 |  41232251.6399
 Nation13       |   1994 |  44081231.4799
 Nation13       |   1993 |  44003465.0901
 Nation13       |   1992 |  36807473.2787
 Nation14       |   1998 |  32269822.1978
 Nation14       |   1997 |  42199627.2438
 Nation14       |   1996 |  44153590.9082
 Nation14       |   1995 |  43405587.6367
 Nation14       |   1994 |  44226697.2444
 Nation14       |   1993 |  40639442.8232
 Nation14       |   1992 |  36695119.5818
 Nation15       |   1998 |  35409276.7789
 Nation15       |   1997 |  46229889.2307
 Nation15       |   1996 |  44711739.9718
 Nation15       |   1995 |  45934398.8336
 Nation15       |   1994 |  44166399.4958
 Nation15       |   1993 |  45865685.3043
 Nation15       |   1992 |  37430110.1703
 Nation16       |   1998 |  35545666.3260
 Nation16       |   1997 |  48615477.4221
 Nation16       |   1996 |  47927719.4973
 Nation16       |   1995 |  47451391.5447
 Nation16       |   1994 |  45460314.0973
 Nation16       |   1993 |  47819807.9329
 Nation16       |   1992 |  38828708.0385
 Nation17       |   1998 |  35157374.4932
 Nation17       |   1997 |  47779650.9513
 Nation17       |   1996 |  48593943.8578
 Nation17       |   1995 |  48596358.0710
 Nation17       |   1994 |  46716320.4422
 Nation17       |   1993 |  48346545.1374
 Nation17       |   1992 |  40352552.7596
 Nation18       |   1998 |  34719392.6527
 Nation18       |   1997 |  47201553.6177
 Nation18       |   1996 |  47984432.3561
 Nation18       |   1995 |  46387858.5805
 Nation18       |   1994 |  47914118.1569
 Nation18       |   1993 |  45528379.2723
 Nation18       |   1992 |  39838354.8766
 Nation19       |   1998 |  35106078.8048
 Nation19       |   1997 |  46408651.9071
 Nation19       |   1996 |  45434405.5163
 Nation19       |   1995 |  45903524.7676
 Nation19       |   1994 |  45834481.5899
 Nation19       |   1993 |  46998855.6476
 Nation19       |   1992 |  37940128.6309
 Nation2        |   1998 |  35963542.3175
 Nation2        |   1997 |  47238143.1591
 Nation2        |   1996 |  46669850.0416
 Nation2        |   1995 |  48553819.1079
 Nation2        |   1994 |  45989413.1645
 Nation2        |   1993 |  50334247.5342
 Nation2        |   1992 |  38101398.6470
 Nation20       |   1998 |  34062472.1171
 Nation20       |   1997 |  46993373.7238
 Nation20       |   1996 |  49787587.8236
 Nation20       |   1995 |  46994586.2423
 Nation20       |   1994 |  46238083.6733
 Nation20       |   1993 |  45547634.2658
 Nation20       |   1992 |  38099276.2157
 Nation21       |   1998 |  37434184.7436
 Nation21       |   1997 |  52978633.3915
 Nation21       |   1996 |  52143292.3615
 Nation21       |   1995 |  50844223.0216
 Nation21       |   1994 |  47733429.1911
 Nation21       |   1993 |  47795683.8908
 Nation21       |   1992 |  43490856.9706
 Nation22       |   1998 |  36809164.3618
 Nation22       |   1997 |  47627873.5373
 Nation22       |   1996 |  48780340.6392
 Nation22       |   1995 |  46730544.3015
 Nation22       |   1994 |  47564809.1449
 Nation22       |   1993 |  47718892.2482
 Nation22       |   1992 |  40883731.2432
 Nation23       |   1998 |  34831295.6632
 Nation23       |   1997 |  46976440.4225
 Nation23       |   1996 |  44606357.8042
 Nation23       |   1995 |  47434487.4998
 Nation23       |   1994 |  48217843.8320
 Nation23       |   1993 |  44673847.9242
 Nation23       |   1992 |  38072559.7884
 Nation24       |   1998 |  34214641.2493
 Nation24       |   1997 |  47131048.8505
 Nation24       |   1996 |  47916067.8616
 Nation24       |   1995 |  47326069.9405
 Nation24       |   1994 |  45049643.2409
 Nation24       |   1993 |  45327947.7480
 Nation24       |   1992 |  38193804.2315
 Nation25       |   1998 |    173556.3259
 Nation25       |   1997 |    125153.5664
 Nation25       |   1996 |    173051.7422
 Nation25       |   1995 |    172914.9568
 Nation25       |   1994 |    158876.9281
 Nation25       |   1993 |    155246.2752
 Nation25       |   1992 |    142822.7522
 Nation26       |   1998 |     47589.4458
 Nation26       |   1997 |     61602.6150
 Nation26       |   1996 |     25709.7700
 Nation26       |   1995 |     54171.2973
 Nation26       |   1993 |     20984.3407
 Nation26       |   1992 |     82170.9102
 Nation3        |   1998 |  38135921.2984
 Nation3        |   1997 |  49700221.0831
 Nation3        |   1996 |  48682688.0636
 Nation3        |   1995 |  50671390.8925
 Nation3        |   1994 |  49632962.7896
 Nation3        |   1993 |  51148298.0016
 Nation3        |   1992 |  43515327.1488
 Nation30       |   1997 |    121044.3705
 Nation30       |   1996 |     43489.1769
 Nation30       |   1995 |     65044.9963
 Nation30       |   1994 |     65904.6155
 Nation30       |   1993 |     67842.9582
 Nation30       |   1992 |     74724.8416
 Nation32       |   1998 |    207976.2396
 Nation32       |   1997 |    118564.9044
 Nation32       |   1996 |     60817.5016
 Nation32       |   1995 |    206824.2660
 Nation32       |   1994 |    198808.0258
 Nation32       |   1993 |    292110.3497
 Nation32       |   1992 |    244251.2359
 Nation33       |   1998 |    259416.1214
 Nation33       |   1997 |    296787.1826
 Nation33       |   1996 |    332517.6469
 Nation33       |   1995 |    327980.5876
 Nation33       |   1994 |    386591.0746
 Nation33       |   1993 |    332994.3249
 Nation33       |   1992 |    183249.9028
 Nation35       |   1998 |     44572.9244
 Nation35       |   1997 |    120250.1067
 Nation35       |   1996 |     39008.9252
 Nation35       |   1994 |     37311.1620
 Nation35       |   1993 |    138257.0774
 Nation35       |   1992 |     50234.2082
 Nation36       |   1998 |     75155.6938
 Nation36       |   1997 |     87395.7456
 Nation36       |   1996 |    191703.6702
 Nation36       |   1995 |    222829.1317
 Nation36       |   1994 |    113084.3819
 Nation36       |   1993 |    175602.0345
 Nation36       |   1992 |     99169.7004
 Nation39       |   1998 |    168059.4288
 Nation39       |   1997 |     50344.7636
 Nation39       |   1996 |    124103.5388
 Nation39       |   1995 |    144952.7065
 Nation39       |   1994 |    187286.9532
 Nation39       |   1993 |    256457.2352
 Nation4        |   1998 |  39017357.8641
 Nation4        |   1997 |  51284498.2917
 Nation4        |   1996 |  51127312.3399
 Nation4        |   1995 |  50693397.1102
 Nation4        |   1994 |  52810858.9066
 Nation4        |   1993 |  52368992.9553
 Nation4        |   1992 |  41682776.8556
 Nation40       |   1998 |     36869.9076
 Nation40       |   1997 |     86219.0512
 Nation40       |   1996 |    138651.6836
 Nation40       |   1995 |     61287.1452
 Nation40       |   1994 |     83646.2760
 Nation40       |   1993 |     17975.6312
 Nation40       |   1992 |     14672.4096
 Nation41       |   1998 |    230827.2278
 Nation41       |   1997 |    120907.1055
 Nation41       |   1996 |    310105.6526
 Nation41       |   1995 |    211986.6408
 Nation41       |   1994 |    341734.3613
 Nation41       |   1993 |    289698.4688
 Nation41       |   1992 |    235852.4346
 Nation42       |   1998 |     95726.9249
 Nation42       |   1997 |    129197.6475
 Nation42       |   1996 |    104910.4130
 Nation42       |   1995 |     74150.7288
 Nation42       |   1994 |     63959.5367
 Nation42       |   1993 |    167509.1462
 Nation42       |   1992 |     44209.4695
 Nation43       |   1998 |    179323.4216
 Nation43       |   1997 |     51216.6678
 Nation43       |   1996 |    256686.7584
 Nation43       |   1995 |    353536.6841
 Nation43       |   1994 |    208575.4794
 Nation43       |   1993 |    143658.1178
 Nation43       |   1992 |    215411.6118
 Nation47       |   1998 |     12067.4325
 Nation47       |   1997 |     22155.2000
 Nation47       |   1996 |     92151.5884
 Nation47       |   1995 |     55384.6691
 Nation47       |   1994 |     95174.0723
 Nation47       |   1993 |    126675.7080
 Nation47       |   1992 |     37077.1056
 Nation48       |   1998 |    210700.4017
 Nation48       |   1997 |    111164.2624
 Nation48       |   1996 |    121105.4931
 Nation48       |   1995 |    144703.4133
 Nation48       |   1994 |    206116.5175
 Nation48       |   1993 |    133248.8636
 Nation48       |   1992 |     62222.1912
 Nation49       |   1998 |     82713.1028
 Nation49       |   1997 |     87854.1548
 Nation49       |   1996 |     29420.8882
 Nation49       |   1995 |     94697.3394
 Nation49       |   1994 |     74835.0868
 Nation49       |   1993 |     40635.3740
 Nation49       |   1992 |     87094.6320
 Nation5        |   1998 |  34307920.8556
 Nation5        |   1997 |  48163129.7549
 Nation5        |   1996 |  43453871.1998
 Nation5        |   1995 |  48271090.6021
 Nation5        |   1994 |  44515334.6758
 Nation5        |   1993 |  46769914.4119
 Nation5        |   1992 |  39567509.3921
 Nation50       |   1998 |     87570.9118
 Nation50       |   1997 |    208065.5472
 Nation50       |   1996 |    376632.7181
 Nation50       |   1995 |    203809.1106
 Nation50       |   1994 |    123774.9050
 Nation50       |   1993 |    153065.4054
 Nation50       |   1992 |    145771.2914
 Nation6        |   1998 |  33787374.8858
 Nation6        |   1997 |  48547780.3585
 Nation6        |   1996 |  45077768.7060
 Nation6        |   1995 |  45570952.5212
 Nation6        |   1994 |  46551538.7582
 Nation6        |   1993 |  45581059.6794
 Nation6        |   1992 |  39783790.2337
 Nation7        |   1998 |  34176274.0501
 Nation7        |   1997 |  46687066.9477
 Nation7        |   1996 |  45036817.9140
 Nation7        |   1995 |  44823594.9112
 Nation7        |   1994 |  44872258.7957
 Nation7        |   1993 |  46854199.0342
 Nation7        |   1992 |  38968367.5047
 Nation8        |   1998 |  36167601.2659
 Nation8        |   1997 |  49355296.3484
 Nation8        |   1996 |  50981087.3818
 Nation8        |   1995 |  47149781.8569
 Nation8        |   1994 |  48068642.7866
 Nation8        |   1993 |  46929812.1362
 Nation8        |   1992 |  38593567.7495
 Nation9        |   1998 |  38140148.7850
 Nation9        |   1997 |  48926553.6894
 Nation9        |   1996 |  50272916.4081
 Nation9        |   1995 |  51170343.9228
 Nation9        |   1994 |  51192007.3012
 Nation9        |   1993 |  49883560.9127
 Nation9        |   1992 |  41606922.5681
 PERU           |   1998 |  35157374.4932
 PERU           |   1997 |  47779650.9513
 PERU           |   1996 |  48593943.8578
 PERU           |   1995 |  48596358.0710
 PERU           |   1994 |  46716320.4422
 PERU           |   1993 |  48346545.1374
 PERU           |   1992 |  40352552.7596
 ROMANIA        |   1998 |  35106078.8048
 ROMANIA        |   1997 |  46408651.9071
 ROMANIA        |   1996 |  45434405.5163
 ROMANIA        |   1995 |  45903524.7676
 ROMANIA        |   1994 |  45834481.5899
 ROMANIA        |   1993 |  46998855.6476
 ROMANIA        |   1992 |  37940128.6309
 RUSSIA         |   1998 |  36809164.3618
 RUSSIA         |   1997 |  47627873.5373
 RUSSIA         |   1996 |  48780340.6392
 RUSSIA         |   1995 |  46730544.3015
 RUSSIA         |   1994 |  47564809.1449
 RUSSIA         |   1993 |  47718892.2482
 RUSSIA         |   1992 |  40883731.2432
 SAUDI ARABIA   |   1998 |  34062472.1171
 SAUDI ARABIA   |   1997 |  46993373.7238
 SAUDI ARABIA   |   1996 |  49787587.8236
 SAUDI ARABIA   |   1995 |  46994586.2423
 SAUDI ARABIA   |   1994 |  46238083.6733
 SAUDI ARABIA   |   1993 |  45547634.2658
 SAUDI ARABIA   |   1992 |  38099276.2157
 UNITED KINGDOM |   1998 |  34831295.6632
 UNITED KINGDOM |   1997 |  46976440.4225
 UNITED KINGDOM |   1996 |  44606357.8042
 UNITED KINGDOM |   1995 |  47434487.4998
 UNITED KINGDOM |   1994 |  48217843.8320
 UNITED KINGDOM |   1993 |  44673847.9242
 UNITED KINGDOM |   1992 |  38072559.7884
 UNITED STATES  |   1998 |  34214641.2493
 UNITED STATES  |   1997 |  47131048.8505
 UNITED STATES  |   1996 |  47916067.8616
 UNITED STATES  |   1995 |  47326069.9405
 UNITED STATES  |   1994 |  45049643.2409
 UNITED STATES  |   1993 |  45327947.7480
 UNITED STATES  |   1992 |  38193804.2315
 VIETNAM        |   1998 |  37434184.7436
 VIETNAM        |   1997 |  52978633.3915
 VIETNAM        |   1996 |  52143292.3615
 VIETNAM        |   1995 |  50844223.0216
 VIETNAM        |   1994 |  47733429.1911
 VIETNAM        |   1993 |  47795683.8908
 VIETNAM        |   1992 |  43490856.9706
(451 rows)

